#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Dec  5 21:34:28 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       mojo_top_0.ncd
#OUTPUT FILE:      mojo_top_0_routed_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -2
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P48,spi_ss,IOB,IO_L48P_D7_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P49,,,GND,,,,,,,,,,,,
P50,,IOBS,IO_L31N_GCLK30_D15_2,UNUSED,,2,,,,,,,,,
P51,button_l,IOB,IO_L31P_GCLK31_D14_2,INPUT,LVTTL,2,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
P52,,,VCCINT,,,,,,,,1.2,,,,
P53,,,VCCAUX,,,,,,,,3.3,,,,
P54,,,GND,,,,,,,,,,,,
P55,avr_tx,IOB,IO_L30N_GCLK0_USERCCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P56,clk,IOB,IO_L30P_GCLK1_D13_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P57,c[0],IOB,IO_L14N_D12_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,YES,NONE,
P58,a[0],IOB,IO_L14P_D11_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,YES,NONE,
P59,,IOBS,IO_L13N_D10_2,UNUSED,,2,,,,,,,,,
P60,,IOBM,IO_L13P_M1_2,UNUSED,,2,,,,,,,,,
P61,,IOBS,IO_L12N_D2_MISO3_2,UNUSED,,2,,,,,,,,,
P62,,IOBM,IO_L12P_D1_MISO2_2,UNUSED,,2,,,,,,,,,
P63,,,VCCO_2,,,2,,,,,3.30,,,,
P64,,IOBS,IO_L3N_MOSI_CSI_B_MISO0_2,UNUSED,,2,,,,,,,,,
P65,,IOBM,IO_L3P_D0_DIN_MISO_MISO1_2,UNUSED,,2,,,,,,,,,
P66,c[1],IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,YES,NONE,
P67,a[1],IOB,IO_L2P_CMPCLK_2,OUTPUT,LVTTL,2,12,SLOW,,,,LOCATED,YES,NONE,
P68,,,GND,,,,,,,,,,,,
P69,,IOBS,IO_L1N_M0_CMPMISO_2,UNUSED,,2,,,,,,,,,
P70,cclk,IOB,IO_L1P_CCLK_2,INPUT,LVTTL,2,,,,NONE,,LOCATED,NO,NONE,
P71,,,DONE_2,,,,,,,,,,,,
P72,,,CMPCS_B_2,,,,,,,,,,,,
P73,,,SUSPEND,,,,,,,,,,,,
P74,c[2],IOB,IO_L74N_DOUT_BUSY_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P75,a[2],IOB,IO_L74P_AWAKE_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P76,,,VCCO_1,,,1,,,,,3.30,,,,
P77,,,GND,,,,,,,,,,,,
P78,c[3],IOB,IO_L47N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P79,a[3],IOB,IO_L47P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P80,c[4],IOB,IO_L46N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P81,a[4],IOB,IO_L46P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P82,c[5],IOB,IO_L45N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P83,a[5],IOB,IO_L45P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P84,c[6],IOB,IO_L43N_GCLK4_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P85,a[6],IOB,IO_L43P_GCLK5_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P86,,,VCCO_1,,,1,,,,,3.30,,,,
P87,c[7],IOB,IO_L42N_GCLK6_TRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P88,a[7],IOB,IO_L42P_GCLK7_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P89,,,VCCINT,,,,,,,,1.2,,,,
P90,,,VCCAUX,,,,,,,,3.3,,,,
P91,,,GND,,,,,,,,,,,,
P92,c[8],IOB,IO_L41N_GCLK8_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P93,a[8],IOB,IO_L41P_GCLK9_IRDY1_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P94,c[9],IOB,IO_L40N_GCLK10_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P95,a[9],IOB,IO_L40P_GCLK11_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P96,,,GND,,,,,,,,,,,,
P97,c[10],IOB,IO_L34N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P98,a[10],IOB,IO_L34P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P99,c[11],IOB,IO_L33N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P100,a[11],IOB,IO_L33P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P101,c[12],IOB,IO_L32N_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P102,a[12],IOB,IO_L32P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P103,,,VCCO_1,,,1,,,,,3.30,,,,
P104,c[13],IOB,IO_L1N_VREF_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P105,a[13],IOB,IO_L1P_1,OUTPUT,LVTTL,1,12,SLOW,,,,LOCATED,YES,NONE,
P106,,,TDO,,,,,,,,,,,,
P107,,,TMS,,,,,,,,,,,,
P108,,,GND,,,,,,,,,,,,
P109,,,TCK,,,,,,,,,,,,
P110,,,TDI,,,,,,,,,,,,
P111,c[14],IOB,IO_L66N_SCP0_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,YES,NONE,
P112,a[14],IOB,IO_L66P_SCP1_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,YES,NONE,
P113,,,GND,,,,,,,,,,,,
P114,c[15],IOB,IO_L65N_SCP2_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,YES,NONE,
P115,a[15],IOB,IO_L65P_SCP3_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,YES,NONE,
P116,,IOBS,IO_L64N_SCP4_0,UNUSED,,0,,,,,,,,,
P117,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
P118,,IOBS,IO_L63N_SCP6_0,UNUSED,,0,,,,,,,,,
P119,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
P120,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
P121,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
P122,,,VCCO_0,,,0,,,,,3.30,,,,
P123,led[7],IOB,IO_L37N_GCLK12_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P124,led[6],IOB,IO_L37P_GCLK13_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P125,,,VCCO_0,,,0,,,,,3.30,,,,
P126,led[5],IOB,IO_L36N_GCLK14_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P127,led[4],IOB,IO_L36P_GCLK15_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P128,,,VCCINT,,,,,,,,1.2,,,,
P129,,,VCCAUX,,,,,,,,3.3,,,,
P130,,,GND,,,,,,,,,,,,
P131,led[3],IOB,IO_L35N_GCLK16_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P132,led[2],IOB,IO_L35P_GCLK17_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P133,led[1],IOB,IO_L34N_GCLK18_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P134,led[0],IOB,IO_L34P_GCLK19_0,OUTPUT,LVTTL,0,12,SLOW,,,,LOCATED,NO,NONE,
P135,,,VCCO_0,,,0,,,,,3.30,,,,
P136,,,GND,,,,,,,,,,,,
P137,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
P138,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
P139,,IOBS,IO_L3N_0,UNUSED,,0,,,,,,,,,
P140,,IOBM,IO_L3P_0,UNUSED,,0,,,,,,,,,
P141,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
P142,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
P143,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
P144,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
